StoreName,StoreType,StoreOpeningDate,Address,City,State,Country,Region,ManagerName
The Urban Shop,Outlet Stores,25/02/2002,"216 Hernandez Burgs Suite 035
New Shawn  KS 24000",Andreschester,Wisconsin,Moldova,South,Kelly
The Artisan Haven,Outlet Stores,01/05/2020,"5254 Hansen Orchard
Port Edwinfurt  IA 73661",West Dana,Arizona,Mayotte,East,Nicole
The Serene Elegance,SMB,27/06/1970,"0843 Young Burgs Suite 810
Vaughantown  VA 29415",East Ann,Pennsylvania,Portugal,East,Kathryn
The Eclectic Enclave,SMB,08/08/1980,"0299 Lauren Union
North Michellebury  ND 61814",South Sherrimouth,Louisiana,Cape Verde,South,Brian
The Harmony Avenue,Exclusive,27/02/1999,"649 Jennifer Ville
South Glennbury  VA 44136",Justinside,New Jersey,American Samoa,East,Lisa
The Serene Enclave,MBO,01/08/1985,"26572 Jose Union
Robertsfort  MD 47357",East Jerryburgh,Idaho,Colombia,East,Mary
The Polished Nook,Outlet Stores,07/06/1983,"8181 Eric Crest Suite 578
Jennyberg  VI 27851",Brennanhaven,South Dakota,Wallis and Futuna,West,Taylor
The Whimsy Essentials,Outlet Stores,20/07/1971,"041 Amber Haven Apt. 806
Port Seanburgh  GA 04291",South Ashley,Delaware,Kazakhstan,North,Brittany
The Blissful Enclave,MBO,10/11/1974,"565 David Parkways
Ronaldborough  CT 80444",North Steven,Tennessee,Namibia,South,Ethan
The Elegant Creations,SMB,16/04/1995,"938 Adams Drive
East Loretta  GU 88833",Bryantside,Florida,Christmas Island,East,Roger
The Elegant Corner,SMB,29/07/1982,"6593 Wyatt Fords Suite 910
East Gordon  WA 64754",West Edwardport,Ohio,Tokelau,West,Dorothy
The Trendy Hub,Exclusive,29/10/1984,"155 Monroe Plaza
Martinborough  MI 72338",Lake Kristin,Maine,Greece,East,Andrew
The Golden Perfection,SMB,07/10/2007,"USS Conley
FPO AP 75334",Port Julie,Montana,Czech Republic,North,Brent
The Enchanted Deals,SMB,24/09/2021,"4365 Holmes Ford
East Kevinborough  IA 79221",Lake Connorbury,Massachusetts,Sierra Leone,South,Daniel
The Modern Treasures,Outlet Stores,15/04/1981,"597 Ramirez Cliff Suite 563
Woodwardstad  PA 85491",North Lindsey,Washington,North Macedonia,South,Gary
The Rustic Cabinet,MBO,22/01/1978,"6133 Edward Cape
Brownton  FM 51426",New Eric,Montana,Senegal,East,Ryan
The Serene Marvels,Exclusive,12/05/1990,"Unit 9146 Box 7787
DPO AA 50500",East Molly,Delaware,Greece,East,Christine
The Eclectic Treasures,Outlet Stores,08/12/2015,"474 Callahan Squares
Hutchinsonfurt  WI 05272",Lake Tiffanyport,Oklahoma,Denmark,West,Jennifer
The Shimmer Creations,Exclusive,07/08/2003,"4629 Janet Lock Apt. 011
East Nicole  RI 97957",Lake Rebeccafort,Illinois,Algeria,East,Benjamin
The Majestic Haven,Outlet Stores,28/05/1988,"915 Norman Garden Suite 001
Morganberg  OR 14785",Jasonshire,Missouri,Mauritania,East,Ray
